Country,Age,Employment,EdLevel,DevCategory,DevType,CompTotal,CompRange
Germany,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",90000.0,50k-100k
Germany,25-34,Freelancer,Master,Software Development Roles,"Developer, desktop or enterprise applications",50577.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",72000.0,50k-100k
Italy,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Germany,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",44400.0,0-50k
Italy,55-64,Freelancer,Master,Software Development Roles,"Developer, full-stack",20000.0,0-50k
Belgium,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",35000.0,0-50k
Greece,25-34,Employed,Master,Software Development Roles,"Developer, back-end",37800.0,0-50k
Germany,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Germany,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",89000.0,50k-100k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Slovakia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",75000.0,50k-100k
Germany,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,94000.0,50k-100k
Germany,35-44,Freelancer,Master,"Academic, Educational, and Research Roles",Research & Development role,80000.0,50k-100k
Austria,25-34,Employed,Bachelor,Other Professional Roles,"Developer, game or graphics",51000.0,50k-100k
Italy,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",24000.0,0-50k
Germany,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Netherlands,18-24,Employed,Master,Software Development Roles,"Developer, back-end",40000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Italy,45-54,Employed,Master,Software Development Roles,"Developer, back-end",47000.0,0-50k
France,35-44,Employed,Master,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Germany,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
Ireland,35-44,Freelancer,PhD,"Academic, Educational, and Research Roles",Academic researcher,45000.0,0-50k
Netherlands,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",75000.0,50k-100k
Portugal,35-44,Employed,Master,Software Development Roles,"Developer, back-end",50.0,0-50k
Germany,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80975.01548387097,50k-100k
France,18-24,Employed,Master,Other Professional Roles,"Developer, game or graphics",34000.0,0-50k
France,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Project manager,53000.0,50k-100k
Slovenia,25-34,Employed,Bachelor,Specialized Technical Roles,"Developer, QA or test",35000.0,0-50k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Germany,64+,Employed,PhD,Software Development Roles,"Developer, full-stack",0.0,0-50k
France,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",90000.0,50k-100k
Germany,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,91367.40076335878,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Romania,25-34,Freelancer,Master,Software Development Roles,"Developer, back-end",76797.27272727272,50k-100k
Netherlands,18-24,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",System administrator,20000.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",180000.0,100k-200k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, back-end",93000.0,50k-100k
Belgium,45-54,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Product manager,105000.0,100k-200k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",95000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",54000.0,50k-100k
Croatia,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",50000.0,50k-100k
Germany,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles",Project manager,80975.01548387097,50k-100k
France,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
Lithuania,25-34,Employed,Master,Software Development Roles,"Developer, back-end",44000.0,0-50k
Netherlands,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",120000.0,100k-200k
Netherlands,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,70000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",75000.0,50k-100k
Germany,45-54,Employed,Bachelor,Specialized Technical Roles,Hardware Engineer,40000.0,0-50k
Austria,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,2200.0,0-50k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,38.0,0-50k
Belgium,25-34,Employed,PhD,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Ireland,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,120000.0,100k-200k
France,25-34,Employed,Master,Specialized Technical Roles,Hardware Engineer,50000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",110000.0,100k-200k
France,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,34000.0,0-50k
Finland,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75000.0,50k-100k
Greece,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",45584.52413793103,0-50k
Latvia,25-34,Employed,Master,Other Professional Roles,"Developer, game or graphics",29570.0,0-50k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, back-end",100000.0,100k-200k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Netherlands,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",87834.77966101695,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",50000.0,50k-100k
Austria,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",System administrator,51800.0,50k-100k
France,45-54,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,38000.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",73000.0,50k-100k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",37000.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, mobile",75000.0,50k-100k
Croatia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",26000.0,0-50k
Finland,45-54,Employed,PhD,Specialized Technical Roles,Database administrator,70000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",100800.0,100k-200k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,55000.0,50k-100k
France,64+,Freelancer,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",60000.0,50k-100k
Croatia,25-34,Freelancer,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,95000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Netherlands,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,130000.0,100k-200k
Netherlands,45-54,Freelancer,PhD,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Slovakia,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, back-end",51639.30034129693,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, embedded applications or devices",75312.76595744681,50k-100k
Germany,55-64,Employed,Master,"Management, Leadership, and Advocacy Roles",Developer Advocate,150000.0,100k-200k
Finland,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,54000.0,50k-100k
Latvia,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",50641.89189189189,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",61573.302305721605,50k-100k
Finland,35-44,Employed,Bachelor,Software Development Roles,"Developer, front-end",42000.0,0-50k
Netherlands,55-64,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,87023.48401826483,50k-100k
Netherlands,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",120000.0,100k-200k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",24000.0,0-50k
Austria,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Scientist,65000.0,50k-100k
France,18-24,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering","Engineer, site reliability",67008.79096045198,50k-100k
Ireland,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",50000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",43000.0,0-50k
Spain,45-54,Employed,Bachelor,Data Science and Analysis Roles,Data scientist or machine learning specialist,93000.0,50k-100k
Bulgaria,35-44,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,60000.0,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Portugal,64+,Freelancer,PhD,Software Development Roles,"Developer, full-stack",62083.333333333336,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",96000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",95000.0,50k-100k
Germany,45-54,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,70000.0,50k-100k
Greece,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",24598.0,0-50k
France,55-64,Employed,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
Portugal,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",42700.0,0-50k
France,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,70000.0,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",56000.0,50k-100k
Greece,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",36400.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, mobile",80000.0,50k-100k
Germany,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Developer Advocate,93000.0,50k-100k
Lithuania,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",56991.7247706422,50k-100k
Ireland,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Ireland,25-34,Employed,PhD,Data Science and Analysis Roles,Data or business analyst,60000.0,50k-100k
Italy,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
France,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,110000.0,100k-200k
Portugal,35-44,Employed,Master,Software Development Roles,"Developer, back-end",92000.0,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, mobile",61573.302305721605,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",82000.0,50k-100k
Romania,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",110000.0,100k-200k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",32000.0,0-50k
Spain,35-44,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",System administrator,33370.0,0-50k
Germany,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,78000.0,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",28500.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",480000.0,200k-500k
Slovakia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",50921.42857142857,50k-100k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",150000.0,100k-200k
Germany,18-24,Freelancer,Bachelor,"Academic, Educational, and Research Roles",Academic researcher,0.0,0-50k
Austria,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",74286.58673469388,50k-100k
Germany,55-64,Employed,PhD,Software Development Roles,"Developer, full-stack",0.0,0-50k
France,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,54000.0,50k-100k
Greece,35-44,Employed,Bachelor,Specialized Technical Roles,"Developer, QA or test",40191.725190839694,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",73000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",61573.302305721605,50k-100k
Belgium,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",38000.0,0-50k
Greece,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",160000.0,100k-200k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",78000.0,50k-100k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",68000.0,50k-100k
Spain,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,23000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",65000.0,50k-100k
Germany,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,62000.0,50k-100k
Germany,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
France,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",40000.0,0-50k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",24000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
Portugal,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",50000.0,50k-100k
Germany,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles",Engineering manager,91367.40076335878,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",75000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, back-end",64000.0,50k-100k
Malta,25-34,Employed,Bachelor,Data Science and Analysis Roles,Data or business analyst,47000.0,0-50k
Portugal,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",150000.0,100k-200k
Ireland,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",94536.61971830986,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",66500.0,50k-100k
Spain,25-34,Employed,Master,Software Development Roles,"Developer, back-end",48000.0,0-50k
France,64+,Freelancer,PhD,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Croatia,18-24,Employed,Master,Software Development Roles,"Developer, back-end",29653.0,0-50k
Germany,18-24,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",40000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",60000.0,50k-100k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",56000.0,50k-100k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",72000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",110000.0,100k-200k
Italy,35-44,Employed,Bachelor,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",100000.0,100k-200k
Romania,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,28000.0,0-50k
Germany,45-54,Freelancer,PhD,Specialized Technical Roles,"Developer, QA or test",34000.0,0-50k
Ireland,45-54,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,100000.0,100k-200k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, back-end",94000.0,50k-100k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, back-end",87023.48401826483,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",42000.0,0-50k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, back-end",36480.0,0-50k
Germany,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, front-end",75312.76595744681,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",95000.0,50k-100k
Ireland,25-34,Employed,Bachelor,Software Development Roles,"Developer, mobile",102000.0,100k-200k
France,35-44,Freelancer,PhD,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
Netherlands,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,45-54,Employed,Master,Specialized Technical Roles,Hardware Engineer,130000.0,100k-200k
Bulgaria,45-54,Employed,Master,Specialized Technical Roles,"Developer, QA or test",74800.0,50k-100k
Germany,45-54,Employed,PhD,Software Development Roles,"Developer, desktop or enterprise applications",80000.0,50k-100k
Slovakia,35-44,Employed,Master,Software Development Roles,"Developer, back-end",55000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",80975.01548387097,50k-100k
Slovakia,35-44,Employed,Master,Software Development Roles,"Developer, back-end",50921.42857142857,50k-100k
Italy,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",40000.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",140000.0,100k-200k
Austria,55-64,Freelancer,Master,Software Development Roles,"Developer, desktop or enterprise applications",74286.58673469388,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, front-end",65000.0,50k-100k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",200000.0,200k-500k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",71000.0,50k-100k
Belgium,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Spain,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",51000.0,50k-100k
France,45-54,Employed,Master,Software Development Roles,"Developer, back-end",49000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",53000.0,50k-100k
Spain,35-44,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,100000.0,100k-200k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",47000.0,0-50k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",85000.0,50k-100k
Austria,25-34,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,63500.0,50k-100k
Spain,25-34,Employed,PhD,Software Development Roles,"Developer, front-end",40577.84615384616,0-50k
Austria,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,60000.0,50k-100k
Croatia,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",22844.0,0-50k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",78000.0,50k-100k
Germany,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles",Engineering manager,120000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",66000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",61000.0,50k-100k
France,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,100000.0,100k-200k
Finland,45-54,Employed,Master,Software Development Roles,"Developer, mobile",75000.0,50k-100k
Austria,45-54,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,74000.0,50k-100k
Spain,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",72000.0,50k-100k
Germany,35-44,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,130000.0,100k-200k
France,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",61573.302305721605,50k-100k
France,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
Netherlands,55-64,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Portugal,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Spain,45-54,Freelancer,Master,"Academic, Educational, and Research Roles",Research & Development role,110000.0,100k-200k
Germany,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,76000.0,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",40000.0,0-50k
Lithuania,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",60000.0,50k-100k
Netherlands,35-44,Freelancer,Bachelor,"Academic, Educational, and Research Roles",Research & Development role,95000.0,50k-100k
Austria,18-24,Employed,Master,"Academic, Educational, and Research Roles",Scientist,36000.0,0-50k
Spain,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",54000.0,50k-100k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,52000.0,50k-100k
Greece,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",45584.52413793103,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",48000.0,0-50k
Latvia,25-34,Employed,Bachelor,Specialized Technical Roles,Blockchain,50641.89189189189,50k-100k
Germany,55-64,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",90000.0,50k-100k
France,25-34,Employed,Master,Specialized Technical Roles,Security professional,39000.0,0-50k
Greece,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",48000.0,0-50k
Germany,25-34,Employed,Master,Other Professional Roles,"Developer, game or graphics",120000.0,100k-200k
Spain,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",51000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",48000.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",62500.0,50k-100k
Ireland,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",150000.0,100k-200k
Spain,45-54,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,75000.0,50k-100k
Germany,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,106000.0,100k-200k
Netherlands,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, mobile",64000.0,50k-100k
France,35-44,Employed,Master,Specialized Technical Roles,"Developer, QA or test",50000.0,50k-100k
Greece,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",40000.0,0-50k
Greece,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",30000.0,0-50k
France,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",45000.0,0-50k
Netherlands,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",45000.0,0-50k
France,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",93000.0,50k-100k
France,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
France,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Engineering manager,120000.0,100k-200k
Spain,25-34,Freelancer,Master,"Academic, Educational, and Research Roles",Scientist,9600.0,0-50k
France,55-64,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",35000.0,0-50k
Spain,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",60.0,0-50k
Germany,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80975.01548387097,50k-100k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",18000.0,0-50k
France,55-64,Employed,Master,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Germany,45-54,Freelancer,Bachelor,"Management, Leadership, and Advocacy Roles",Developer Advocate,75312.76595744681,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",50000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
France,45-54,Freelancer,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,65000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",48000.0,0-50k
Austria,35-44,Freelancer,Master,Software Development Roles,"Developer, back-end",100000.0,100k-200k
Germany,35-44,Employed,PhD,Other Professional Roles,"Developer, game or graphics",60000.0,50k-100k
Finland,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,73400.0,50k-100k
Italy,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",50452.0,50k-100k
Spain,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering","Engineer, site reliability",85000.0,50k-100k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Germany,45-54,Employed,Bachelor,Software Development Roles,"Developer, front-end",50000.0,50k-100k
Spain,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",45000.0,0-50k
Germany,45-54,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",45000.0,0-50k
Netherlands,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",165000.0,100k-200k
Germany,25-34,Employed,PhD,Software Development Roles,"Developer, mobile",83000.0,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",80975.01548387097,50k-100k
Italy,45-54,Employed,PhD,"Academic, Educational, and Research Roles",Scientist,47679.045454545456,0-50k
Portugal,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",14000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",42000.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Netherlands,35-44,Employed,Master,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",95000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Belgium,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",64831.26519337016,50k-100k
Greece,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",80000.0,50k-100k
Hungary,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",78000.0,50k-100k
Portugal,35-44,Employed,Master,Other Professional Roles,Marketing or sales professional,28000.0,0-50k
Lithuania,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",48000.0,0-50k
France,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
France,18-24,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,30000.0,0-50k
France,55-64,Freelancer,Master,Software Development Roles,"Developer, mobile",61573.302305721605,50k-100k
